,Companion Map: bit.ly/sfstairmap,,,Contact: info@urbanhikersf.com,,,
,Buena Vista (Corona Heights),3,Buena Vista Park. NW of entrance at intersection of Buena Vista East and Buena Vista West.,,https://photos.app.goo.gl/yTrhUgJ2WGb7Ezxt7,,
,Buena Vista (Corona Heights),3,Buena Vista Park. South of tennis courts. Continues up to paved path above.,,https://photos.app.goo.gl/Hr6SfsgBTmvaRwGW8,,
,Buena Vista (Corona Heights),3,"Buena Vista West. Frederick, into Buena Vista Park.",,https://photos.app.goo.gl/e3DPhh9LGFBSUWSx9,,
,Buena Vista (Corona Heights),3,"Corona Heights Park from 15th Street entrance, into the wooded side of park.",,https://photos.app.goo.gl/uytK76SGo8LQAy3F7,,
,Buena Vista (Corona Heights),3,DeForest/Beaver & Flint.,,https://photos.app.goo.gl/7d6DFjLGhaVGCZAH6,,
,Buena Vista (Corona Heights),3,Duboce/Castro & Divisadero. Sidewalk stairway.,,https://photos.app.goo.gl/sfG7QHJo7SsafsvU8,,
,Buena Vista (Corona Heights),3,Duboce/Divisadero & Alpine. Sidewalk stairway.,,https://photos.app.goo.gl/NnJX4PgmTbCgCrkt7,,
,Buena Vista (Corona Heights),3,"Lyon & Haight, into Buena Vista Park.",,https://photos.app.goo.gl/SfWfpZzKCcYvCisf8,,
,Buena Vista (Corona Heights),2,"Buena Vista East. Across from 111, into park.",,https://photos.app.goo.gl/QV2Kp2igDpkD6QLg8,,
,Buena Vista (Corona Heights),2,"Buena Vista East. Across from 165, into park.",,https://photos.app.goo.gl/xVNTCt1jS3SV5F259,,
,Buena Vista (Corona Heights),2,"Buena Vista East. Across from 3, into park.",,https://photos.app.goo.gl/GRX4qta6aye89zzaA ,,
,Buena Vista (Corona Heights),2,"Buena Vista East. Across from 351-355, into park.",,"
https://photos.app.goo.gl/mDLyKiSkLyaVKTL47",,
,Buena Vista (Corona Heights),2,"Buena Vista East. Across from 437, into park.",,https://photos.app.goo.gl/TwkJ2pgX7tS6SYZx7,,
,Buena Vista (Corona Heights),2,"Buena Vista East. Across from 65, into park.",,https://photos.app.goo.gl/ULKU9m6iPWdJzi8a6,,
,Buena Vista (Corona Heights),2,Buena Vista Park interior. Stairway down to dog run.,,https://photos.app.goo.gl/gT9mUpf9zi9U6d9H8,,
,Buena Vista (Corona Heights),2,"Buena Vista Park. Between the ""Window"" overlook and the dog run.",,https://photos.app.goo.gl/3TTMb5mgJPTMEgAdA,,
,Buena Vista (Corona Heights),2,"Buena Vista West. Across from No. 737, into Buena Vista Park.",,https://photos.app.goo.gl/yH9GxwRLq9QN8CWE9,,
,Buena Vista (Corona Heights),2,"Buena Vista West. Across from No. 767, into Buena Vista Park.",,https://photos.app.goo.gl/4A6Go9tsFf1EBHa19,,
,Buena Vista (Corona Heights),2,"Buena Vista West. Central, into Buena Vista Park.",,https://photos.app.goo.gl/VAJdBnX3HB5uMN9K6,,
,Buena Vista (Corona Heights),2,Buena Vista West/Central & Waller.,,https://photos.app.goo.gl/UTp4GzdpfC5qoKH6A,,
,Buena Vista (Corona Heights),1,Waller/Central & Buena Vista Ave. W.,10,https://photos.app.goo.gl/uXMUZBE9xX6HPMpH8,,
,Chinatown,4,"California/opposite No. 660, into St. Mary's Square.",,https://photos.app.goo.gl/Ua2RtgWWU2pHDMCC7,,
,Chinatown,4,Grant & Bush Stairway & Chinatown Gate.,,https://photos.app.goo.gl/kM6B4yZ26QDWm8uZ9,,
,Chinatown,4,Portsmouth Square. Interior of square toward Kearny.,,https://photos.app.goo.gl/XGqvVhxYctdMBtKr6,,
,Chinatown,3,Portsmouth Square. Kearny & Clay.,,https://photos.app.goo.gl/c9avB3v6KPFSA6BS7,,
,Chinatown,3,Portsmouth Square. Kearny & Washington.,,https://photos.app.goo.gl/NvwGx9qXNC3Gdhcy6,,
,Chinatown,2,Duncombe Court.,,https://photos.app.goo.gl/Hunu2Qg11Q3PzGmW6,,
,Chinatown,2,Portsmouth Square. Clay/Kearny & Walter Lum Pl.,,https://photos.app.goo.gl/L4GoYfwX8N4xUXwc8,,
,Chinatown,2,Portsmouth Square. Walter Lum Pl./Clay & Washington.,,https://photos.app.goo.gl/Uey816WPwWSjyf1D6,,
,Chinatown,2,Portsmouth Square. Washington & Walter Lum Pl.,,https://photos.app.goo.gl/FRrfQrqNCcKELedf8,,
,Chinatown,2,St. Mary's Square. Up to children's play area and Comfort Women memorial.,6,https://photos.app.goo.gl/oN3brfAptHZLwqBZ8,,
,Chinatown,2,Vinton Court at Grant/California & Pine,,https://photos.app.goo.gl/356wjjHdX31qrBi76,,
,Cole Valley,3,"Belgrave, at end of street, to Tank Hill.",,https://photos.app.goo.gl/Ctdip4WthGjo8gP69,,
,Cole Valley,3,"Stanyan near intersection with 17th Street, into Interior Greenbelt. ",,https://photos.app.goo.gl/6ij927F5HDiX2fmH6,,
,Cole Valley,3,"Stanyan, near No.1289/Belgrave & 17th St. Stairways on both sides of street.",,https://photos.app.goo.gl/R1pLfArLeroTZT5S8,,
,Cole Valley,1,"Belgrave, near Stanyan, into the Interior Greenbelt.",,https://photos.app.goo.gl/CFpvYLPHacx1cs9G8,,
,Cole Valley,1,"Bigler Avenue at Belgrave, near Tank Hill.",,"https://photos.app.goo.gl/k2TnvxH6jEjAmTHs7
Photo by Brett Lider",,
,Crocker-Amazon,3,Curtis and Prague at their acute intersection. A curving set of stairs.,,https://photos.app.goo.gl/1WUNpfaoExFGC8xx6,,
,Diamond Heights,5,Glen Canyon Park. Coyote Crags Trail.,,https://photos.app.goo.gl/NnwvAkidfDL7NUWZA,,
,Diamond Heights,5,"Onique/No.101 Berkeley, No. 289 Berkeley, No. 400 Gold Mine & No. 243 Topaz.",,https://photos.app.goo.gl/a5cjJn45pdjZWKz87,,
,Diamond Heights,5,"Opalo Lane, across from No. 160 Gold Mine Dr./Ora & Jade.",,https://photos.app.goo.gl/k7VNv4L7hg8mSBqL9,,
,Diamond Heights,4,Coralino/No. 289 Amber to No. 92 Cameo.,,https://photos.app.goo.gl/DbmAEQu9C1MHhKFR7,,
,Diamond Heights,4,Glen Canyon Park. Crags Court Entrance.,,https://photos.app.goo.gl/9Y5rWGHLxGjHHBxE8,,
,Diamond Heights,4,Glen Canyon Park. Turquoise Way Trailhead.,,https://photos.app.goo.gl/eWDmLRrTyrBiYXme9,,
,Diamond Heights,4,"Gold Mine Drive, east of Diamond Heights Boulevard, to No. 681 28th St.",,https://photos.app.goo.gl/jNCrerEgubrBUSpG7,,
,Diamond Heights,3,Glen Canyon Park. Christopher Playground Entrance.,,https://photos.app.goo.gl/eCqp9uT9GkA4rTD87,,
,Diamond Heights,3,Safira Lane from Douglass up to Diamond Heights Blvd.,,https://photos.app.goo.gl/vfEJXdmt5xpvRiC47,,
,Diamond Heights,3,Turquoise Way between Glen Canyon Park and Amber Drive.,,https://photos.app.goo.gl/AQ4B4eCSPuFrbYvf7,,
,Diamond Heights,2,Diamond Heights Boulevard. Stairway in Safeway parking lot.,,https://photos.app.goo.gl/mJ1fKt6QX3MzzqAx8,,
,Diamond Heights,2,Glen Canyon Park. Toward north of park after a boardwalk section.,,https://photos.app.goo.gl/EH1EQq2GC2tPrqRj6,,
,Diamond Heights,2,Shopping Center to Christopher Playground.,,https://photos.app.goo.gl/1PQuqoCpTy7dyo9SA,,
,Dogpatch,3,22nd and Texas. Alongside of The Landing apartment building.,,"https://photos.app.goo.gl/TgxwqDKXryYS8gRb9 
Photo by Karen Rhodes",,
,Dogpatch,3,"End of 19th Street, near Indiana Street. Next to Dogpatch Arts Plaza.",,https://photos.app.goo.gl/KSXBznJwddrVXH2H6,,
,Dogpatch,2,Crane Cove Park. East of Illinois near 19th Street.,,https://photos.app.goo.gl/vmeeszmY7CuENHKv5,,
,Dogpatch,2,Minnesota / 23rd and 24th Street: Minnesota Grove,4,https://photos.app.goo.gl/MLf7mWdyG4RcqeNv5,,
,Dogpatch,1,24th and Minnesota: Minnesota Grove,2,https://photos.app.goo.gl/ViZcurQe59KVTxjTA,,
,Dogpatch,1,Progress Park. Indiana/23rd & 25th. Steps to bocce court.,3,https://photos.app.goo.gl/6yp6Xk4YifA4u69MA,,
,Dogpatch,1,Tennessee/between nos. 1108-1116. Few small stairways.,,https://photos.app.goo.gl/HWhzihMghZ8nf1WU9,,
,Dolores Heights,5,20th St. & Noe.,,https://photos.app.goo.gl/3HkRBRN3WKcEs9fR8,,
,Dolores Heights,5,20th St. & Sanchez.,,https://photos.app.goo.gl/2HPFMLiDUiMXGrs17,,
,Dolores Heights,5,Cumberland/Noe No. 670 & Sanchez. Longer and more impressive than the photo indicates.,,https://photos.app.goo.gl/WH8MXKq5xcfHYcLQ9 (bigger than it looks here),,
,Dolores Heights,5,Liberty/Noe & Rayburn.,,https://photos.app.goo.gl/papTWnW4hsMe7iaTA,,
,Dolores Heights,5,Sanchez/Liberty & 21st St.,,https://photos.app.goo.gl/mLK1APrXe4qbCicK9,,
,Dolores Heights,4,"22nd St./Castro & Collingwood and Diamond and Collingwood. ""Jungle Stairs.""",,https://photos.app.goo.gl/1pHwD8wX2Ai8aXjs8 and https://photos.app.goo.gl/RRbVFmUpAibGzUiG8,,
,Dolores Heights,4,22nd St./Church & Vicksburg. Sidewalk stairway on both sides of the street.,,https://photos.app.goo.gl/L3dkPrxi7zEsYu8Q9,,
,Dolores Heights,4,Cumberland/Sanchez & Church,,https://photos.app.goo.gl/7yyU1ERLoP4M11TB6,,
,Dolores Heights,4,Liberty/Sanchez & Church.,,https://photos.app.goo.gl/uDCzTaJKsKjqZb796,,
,Dolores Heights,4,Sanchez/19th St. & Cumberland.,,https://photos.app.goo.gl/yMV9dqo1SZALkBUK7,,
,Dolores Heights,3,21st St./Castro & Collingwood. Sidewalk stairway and going down to street.,,https://photos.app.goo.gl/g2F3o8Bf7YGwEmDw8,,
,Dolores Heights,3,Collingwood/20th & 21st. Sidewalk stairway on both sides of the street. ,,https://photos.app.goo.gl/zPwyBBCGyhagZ9ww9,,
,Dolores Heights,3,"Dolores Park, Dolores and 19th.",,https://photos.app.goo.gl/g54ALJ1mHavKiRps6,,
,Dolores Heights,3,"Dolores Park. 19th St./Church & Dolores Park, over MUNI Metro tracks.",,https://photos.app.goo.gl/JRrvwj7ZVRSGuFZ49,,
,Dolores Heights,3,Liberty across from #342/Sanchez & Church.,,https://photos.app.goo.gl/yt3vuy3AKpvaYwFm7,,
,Dolores Heights,3,Liberty near #366/Sanchez & Church.,,https://photos.app.goo.gl/yj1FT2pK6dKqRSmJ6,,
,Dolores Heights,2,18th/Dolores & Church,,https://photos.app.goo.gl/PLVL3LDE2qCrx5YSA,,
,Dolores Heights,2,Cumberland/Church & Dolores Park.,,https://photos.app.goo.gl/xrwDnSZMx5vMn8gC7,,
,Dolores Heights,2,Hancock/Church & Dolores Park.,,https://photos.app.goo.gl/u1Jxv5hyDXcB85wk6,,
,Dolores Heights,2,Sanchez/Cumberland & Sanchez Stairway,,https://photos.app.goo.gl/QZGVecUmW9kcWqkt6,,
,Dolores Heights,2,Upper and Lower Sanchez between #725 and #720.,,https://photos.app.goo.gl/JWg9n8Hdd8FSSkqt8,,
,Downtown,4,"Union Square. Powell & Geary, into square.",,https://photos.app.goo.gl/z523kXdiUDop4wki9,,
,Downtown,4,"Union Square. Stockton & Geary, into square.",,https://photos.app.goo.gl/ysQqD4AUU1DNha8VA,,
,Downtown,3,Union Square. Across from Maiden Lane.,,https://photos.app.goo.gl/TVfki72J1c6CNoc67,,
,Downtown,3,Union Square. Number of stairways north of Dewey Monument.,,https://photos.app.goo.gl/GXcPsv3yZJpZSU8c6,,
,Downtown,3,Union Square. Number of stairways south of Dewey Monument.,,https://photos.app.goo.gl/B2jcWCAC7orSc6Nj7,,
,Downtown,3,"Union Square. Powell & Post, into square.",,https://photos.app.goo.gl/effCNjdxpKHqzjB3A,,
,Downtown,3,"Union Square. Stockton & Post, into square.",,https://photos.app.goo.gl/5Nydshp7umYsyHyU6,,
,Downtown,3,Union Square. Up from corner of Stockton & Geary.,,https://photos.app.goo.gl/bM2SNiNHf3XWexQe7,,
,Downtown,2,Bush/Stockton & Grant. In front of Sutter Stockton Garage.,,https://photos.app.goo.gl/ibahfns5ZTEARMST8,,
,Downtown,2,Geary/Powell & Stockton. Into Union Square.,,https://photos.app.goo.gl/nyq3UyHed2XHsXNfA,,
,Downtown,2,"Market Street/Sutter, Sansome, and Battery. Old E-Trade Plaza.",,https://photos.app.goo.gl/gvvctnotFTT5BtpU8,,
,Downtown,2,Post/Powell & Stockton. Two stairways into Union Square.,,https://photos.app.goo.gl/pgtzZhWd1ES9xTba7,,
,Downtown,2,Stockton Tunnel south. Stockton & Bush. Two stairways at corners.,,https://photos.app.goo.gl/ZuFwPNgY4VuVeTCy6,,
,Downtown,2,Stockton Tunnel north. Stockton near Sacramento. Both sides of street.,,https://photos.app.goo.gl/t3YtfZah4PKQ8Txm6,,
,Duboce Triangle,2,"14th, Church, and Market Street. Into shopping center.",,https://photos.app.goo.gl/rfnaxfYBx3CV2NJu9,,
,Duboce Triangle,2,Carmelita Street at end into Duboce Park.,,https://photos.app.goo.gl/JDLqmtWUWP3XnCZp6,,
,Duboce Triangle,2,Duboce Park. Just south of Harvey Milk Center.,,https://photos.app.goo.gl/34CnjHnSwsMmE81f6,,
,Duboce Triangle,2,Pierce Street at end into Duboce Park.,,https://photos.app.goo.gl/r9jgJZr7hVnHi3aXA,,
,Duboce Triangle,1,Duboce Ave. down to shopping center.,,https://photos.app.goo.gl/15PPqsYesUEvja4f6,,
,Edgehill,5,Pacheco/Merced & Vasquez.,,https://photos.app.goo.gl/XPAURfxcE2PGrVYD7,,
,Edgehill,3,Dorchester to Kensington. Crosses Allston & Granville.,,https://photos.app.goo.gl/HJZB5oHD3PiHRULKA,,
,Edgehill,3,Ulloa/Kensington & Waithman. Number of stairways along street down to sidewalk.,,https://photos.app.goo.gl/bCPhicypoHnaRZoS6,,
,Edgehill,3,West Portal Branch Library from Lenox Way.,,https://photos.app.goo.gl/pnk2p18B2qmPrjXg9,,
,Edgehill,2,"Garcia/Edgehill Way & ldora, connecting Upper and Lower Garcia.",,https://photos.app.goo.gl/NMJN7geZqbXRX4jk8,,
,Edgehill,2,"Garcia/Vasquez & Edgehill Way, connecting Upper and Lower Garcia",,https://photos.app.goo.gl/rdydGSAMWue2WBwR8,,
,Edgehill,2,"Idora/Garcia & Laguna Honda, connecting Upper and Lower ldora.",,https://photos.app.goo.gl/NmrH1WWeL6mTeq58A,,
,Edgehill,2,Ulloa at Waithman.,,https://photos.app.goo.gl/SDxEKu6ATkPWWuti8,,
,Edgehill,1,"Lennox, opposite No. 146., into West Portal Recreation Center",,https://photos.app.goo.gl/nxjQHe3V1chywDtm6,,
,Embarcadero,5,Commercial/Battery & Embarcadero 1.,,https://photos.app.goo.gl/Cgak2QbaAnAdJFgaA and https://photos.app.goo.gl/JzuNFboYNrBwofYU8,,
,Embarcadero,4,Embarcadero Center. Skybridge between Embarcadero 1 and 2.,,https://photos.app.goo.gl/LDkwHWYF7dwH3rKU8,,
,Embarcadero,4,Embarcadero Center. Skybridge between Embarcadero 3 and 4.,,https://photos.app.goo.gl/XjjB4pAYNLWnBMDs7,,
,Embarcadero,4,Embarcadero Center. Stairways on either side of skybridge between Embarcadero 2 and 3.,,https://photos.app.goo.gl/JzuNFboYNrBwofYU8,,
,Embarcadero,3,Clay (north side)/Battery & Front. Just west of One Maritime Plaza and into Maritime Plaza.,,https://photos.app.goo.gl/sKV9kADWsqJywmnX6,,
,Embarcadero,3,Clay (north side)/Front & Davis. Just east of One Maritime Plaza and into Maritime Plaza.,,https://photos.app.goo.gl/gQdSGJdAZniqb4uK6,,
,Embarcadero,3,Embarcadero Center. Embarcadero Plaza up to Embarcadero 4.,,https://photos.app.goo.gl/9Rf1fPskL3ggE6EJ6,,
,Embarcadero,3,Embarcadero Center. Skybridge between Embarcadero 1 and 2. Front/Clay & Sacramento.,,https://photos.app.goo.gl/LDkwHWYF7dwH3rKU8,,
,Embarcadero,3,Embarcadero Plaza. Multiple stairways throughout plaza.,,https://photos.app.goo.gl/32kXRFbaWGKG6qnQ7,,
,Embarcadero,3,Ironship Plaza East. Near Drumm & Washington.,,https://photos.app.goo.gl/pBZKWkdRnbUjkLeT8,,
,Embarcadero,3,Ironship Plaza West near Davis & Washington.,,,,
,Embarcadero,3,Washington (north side)/Battery and Davis. To elevated walkway.,,https://photos.app.goo.gl/bD3XceuPMvRNodFw5,,
,Embarcadero,3,"Washington (south side)/Battery & Davis. East of 301 Washington St. parking garage.
",,https://photos.app.goo.gl/xXMAHft9pmZjGjjHA,,
,Embarcadero,3,"Washington (south side)/Battery & Davis. West of 301 Washington St. parking garage.
",,https://photos.app.goo.gl/habqLHtjRTXVb971A,,
,Embarcadero,3,Washington/Battery and Davis. North side to Hinckley Walk.,,https://photos.app.goo.gl/wLtfF8Tbj4bUtPf26,,
,Embarcadero,2,Embarcadero Plaza. Don Chee Way/Steuart St. & The Embarcadero.,,https://photos.app.goo.gl/6ijaFfFYhF12jdeA9,,
,Embarcadero,2,"Embarcadero Plaza. Market Street/Steuart & The Embarcadero. North stairway,",,https://photos.app.goo.gl/sp9Y6vvZZSVK8akk8,,
,Embarcadero,2,"Embarcadero Plaza. Market Street/Steuart & The Embarcadero. South stairway,",,https://photos.app.goo.gl/aDYsLRVUn6KHa6Ub6,,
,Embarcadero,2,Ferry Building at North End Plaza.,,https://photos.app.goo.gl/Q7EPnozyPwKYy7fx6,,
,Embarcadero,2,Harry Bridges Plaza. The Embarcadero/Ferry Plaza & Washington Street.,,https://photos.app.goo.gl/o8Dx5GJxR939RZB67,,
,Embarcadero,2,Jackson/Front & Davis. In Sydney G. Walton Square.,,https://photos.app.goo.gl/N5LbaYnSCPizxkmc6,,
,Embarcadero,2,The Embarcadero/Mission & Howard. Up to Gate G.,,https://photos.app.goo.gl/bdox5i2Z7mg7AXUb6,,
,Embarcadero,1,Clay St. at East End/Sue Bierman Park & Four Embarcadero Center.,,https://photos.app.goo.gl/SYo5595QCJvDZ69k6,,
,Embarcadero,1,Embarcadero Plaza Bocce Ball Courts. In the middle of the Embarcadero/Don Chee Way/Steuart Street. Two small stairways.,,https://photos.app.goo.gl/psd9uuUb8YxevcLS9,,
,Eureka Valley,4,Douglass at Corwin.,,https://photos.app.goo.gl/6sZW2B62ZsGrHgML7,,
,Eureka Valley,4,Douglass/20th St. & Corwin.,,https://photos.app.goo.gl/QtUvQUHkXqejMN1G9,,
,Eureka Valley,4,Short/Market & Yukon.,,https://photos.app.goo.gl/9WmzreMMEBSeLaWb9,,
,Eureka Valley,3,Acme Alley/Corwin No. 95 & Grand View. Only accessed from Grand View.,,https://photos.app.goo.gl/wm2hHjzsEoDzKxyZ6,,
,Eureka Valley,3,Douglass at No. 414/Corwin & Romain.,,https://photos.app.goo.gl/jNJRBvPWXWRsVzXL6,,
,Eureka Valley,3,Douglass at Romain.,,https://photos.app.goo.gl/HNbqM6fbeceS1Xad8,,
,Eureka Valley,3,Grand View to Stanton at Market.,,https://photos.app.goo.gl/UougKQhXF1MHdta36,,
,Eureka Valley,3,https://photos.app.goo.gl/5VyLnTyCupKLxSvp7,,https://photos.app.goo.gl/5VyLnTyCupKLxSvp7,,
,Eureka Valley,3,"Mono/Market & Eagle, with a ramp to Caselli.",,https://photos.app.goo.gl/tcZAQq7BJDnEeamu5,,
,Eureka Valley,3,Seward at Douglass & No. 31 Seward.,,https://photos.app.goo.gl/49AyoRKCY6cDVWyH9,,
,Eureka Valley,3,Yukon/Eagle & Short. Into Kite Hill.,,https://photos.app.goo.gl/MjT7pTS9XUFri4m37,,
,Eureka Valley,2,Acme Alley in Seward Mini Park.,,https://photos.app.goo.gl/C2cdNHVwnroWixNz6,,
,Eureka Valley,2,Corwin Community Garden.,,https://photos.app.goo.gl/cgVFAiRqgdkeRD9L9,,
,Eureka Valley,2,Dixie/No. 3801 Market & No. 285 Grand View near Alvarado.,,https://photos.app.goo.gl/VM3HgVSp7REN1MVt5,,
,Eureka Valley,2,"Grand View to Market, near Grand View Terrace.",,https://photos.app.goo.gl/JxedUcWT397rQggN9,,
,Eureka Valley,2,Prosper/16th St. & Pond.,,https://photos.app.goo.gl/eqdknv1u4hK7mJ6e8,,
,Eureka Valley,2,Seward across from No. 25 up to sidewalk.,,https://photos.app.goo.gl/95HJwPvpUurPY6w58,,
,Eureka Valley,2,Seward at No. 30. Into Seward Mini Park.,,https://photos.app.goo.gl/C55DH2RytMTTyGL4A,,
,Eureka Valley,1,"Douglass at 24th St., into Noe Valley Children's Playground.",,https://photos.app.goo.gl/5LYD7QVNse59phsS7,,
,Excelsior (McLaren Park),5,Athens/Avalon & Valmar Terrace. Mosaic!,,https://photos.app.goo.gl/5jBzn3sNwLomFH5Z6,,
,Excelsior (McLaren Park),4,Kenny Alley at No. 646 London to Mission. Mosaic!,,https://photos.app.goo.gl/QAi5vTEvhjxaj7ZPA,,
,Excelsior (McLaren Park),4,McLaren Park. Between Ervine at Wilde and Visitacion and Mansell.,,https://photos.app.goo.gl/6su9xM6HwbkoxQMo9,,
,Excelsior (McLaren Park),4,Munich/Ina & Excelsior.,,https://photos.app.goo.gl/FamX87jMdnjGMCC68,,
,Excelsior (McLaren Park),4,Peru/Athens & Valmar.,,https://photos.app.goo.gl/3B18YztkbQq9aJocA,,
,Excelsior (McLaren Park),3,"Crocker-Amazon Park. Prague, near Russia, into park.",,https://photos.app.goo.gl/dg2E1c4dbtQjSsgaA,,
,Excelsior (McLaren Park),3,"McLaren Park. Brookdale/Geneva & Blythdale, into park.",,https://photos.app.goo.gl/Kq1P9eLWJBNFwTWPA,,
,Excelsior (McLaren Park),3,McLaren Park. Near LaGrande & Brazil entrance. Parallel to Brazil Street.,,https://photos.app.goo.gl/dju6VR3WAM7FNUJr8,,
,Excelsior (McLaren Park),3,Sunglow Lane/Gladstone & Silver at Oxford.,,https://photos.app.goo.gl/bW6W9g55uZvSb8zAA,,
,Excelsior (McLaren Park),2,"Crocker-Amazon Park. Geneva, opposite No. 1572, into park.",,https://photos.app.goo.gl/bBubGLbK9GDMRfF28,,
,Excelsior (McLaren Park),2,Crocker-Amazon Playground Skate Park to McLaren Park.,,https://photos.app.goo.gl/AJG1HVMxhXiG6ZLf9,,
,Excelsior (McLaren Park),2,Excelsior Playground.,,https://photos.app.goo.gl/KpXa1zwxnDDb9AUe6,,
,Excelsior (McLaren Park),2,"McLaren Park. Excelsior at No. 1021, near Munich, into park.",,https://photos.app.goo.gl/L3GGuzScQVNboFwu7,,
,Excelsior (McLaren Park),2,McLaren Park. Just north of basketball courts by LaGrande Ave.,,https://photos.app.goo.gl/KhGAVw1rTYeYbE1k9,,
,Excelsior (McLaren Park),2,"McLaren Park. LaGrande & Brazil, into park.",,https://photos.app.goo.gl/o4TzeZ1JrwFcSeQ66,,
,Excelsior (McLaren Park),2,McLaren Park. On the path/Lake McNab & Shelley Dr.,,https://photos.app.goo.gl/Rs4sFfTSZxsfE1ng7,,
,Excelsior (McLaren Park),2,"McLaren Park. Prague at Excelsior, into park.",,https://photos.app.goo.gl/UEgQkaSUn1PZrmLZ9,,
,Excelsior (McLaren Park),2,McLaren Park. Shelley Drive down to Upper Reservoir.,,https://photos.app.goo.gl/Y68FGHEw4hsWpaEk9,,
,Excelsior (McLaren Park),2,"McLaren Park. University at Woolsey, into park.",,https://photos.app.goo.gl/swTjauo9DHPKvhT29,,
,Excelsior (McLaren Park),2,"McLaren Park. Visitacion near Mansell, into park.",,https://photos.app.goo.gl/XnfRBD51VVhXVBAb6,,
,Excelsior (McLaren Park),2,"McLaren Park. Yale, into park.",,https://photos.app.goo.gl/nfPyqR8Qk7wGYwEo8,,
,Excelsior (McLaren Park),2,Redwood Playground Picnic Area,,https://photos.app.goo.gl/csVDFHsw4vpze1ff9,,
,Excelsior (McLaren Park),1,Across from McLaren Upper Reservoir,,https://photos.app.goo.gl/2HPyeMPeMULXEnLV8,,
,Excelsior (McLaren Park),1,Crocker Amazon Park soccer field restrooms.,,https://photos.app.goo.gl/1XXuXPDUxDkWEV2w8,,
,Excelsior (McLaren Park),1,Crocker Amazon Park soccer fields east side.,,https://photos.app.goo.gl/czPKWS5y9JQKBwMZA,,
,Excelsior (McLaren Park),1,Lisbon/Russia & France. Many small stairways from street to sidewalk.,,https://photos.app.goo.gl/CZZMCoUDd1PoUXPD8,,
,Fillmore District,2,Jefferson Square Park. East of intersection of Golden Gate and Octavia.,18,https://photos.app.goo.gl/iva3wwweNfHvBCHw6,,
,Fillmore District,2,Jefferson Square Park. Intersection of Golden Gate and Octavia.,10,https://photos.app.goo.gl/hk37poeZesaEKia9A,,
,Fillmore District,2,Jefferson Square Park. Near intersection of Gough and Eddy.,,https://photos.app.goo.gl/DUT7sjH4tqTUbXLh9,,
,Fillmore District,2,Jefferson Square Park. Three stairways in north central section of park and between Laguna & Gough.,,https://photos.app.goo.gl/LzKbbMGyGnx8gzvK9,,
,Fillmore District,1,Jefferson Square Park. South of the playrground.,3,https://photos.app.goo.gl/tbUvZ9HVtoNnueKS8,,
,Fillmore District,1,Jefferson Square Park. Stairways on either side of the baseball diamond.,,https://photos.app.goo.gl/BeNLZQNNBAERJvag7,,
,Fillmore District,1,Jefferson Square Park. Turk. Midway between Laguna and Gough.,,https://photos.app.goo.gl/28pJvtdvdip3QHWj9,,
,Financial District,2,Embarcadero leading up to Pier 7,,https://photos.app.goo.gl/LXwT7oyp5n8cQFf57,,
,Fisherman's Wharf,3,Ghiradelli Square. Beach and Columbus.,,https://photos.app.goo.gl/GP6j8Xxj54S2xVQ38,,
,Fisherman's Wharf,1,Jefferson / Jones & Leavenworth. Few stairways along the block.,,https://photos.app.goo.gl/gS9Q6TYfsLuXnPpo9                                                ,,
,Forest Hill,5,8th Ave. at No. 1998 to No. 20 Ventura.,,https://photos.app.goo.gl/4ggL81Y9roEeRUcZ9,,
,Forest Hill,5,Montalvo at No. 376/Castenada & San Marcos,,https://photos.app.goo.gl/gs9kMMx8VwgFeeFZ9,,
,Forest Hill,5,Montalvo/9th Avenue to Mendosa,,https://photos.app.goo.gl/jrtajEeHqP83H1ac8,,
,Forest Hill,5,Montalvo/San Marcos to 9th Ave.,,https://photos.app.goo.gl/MLbkB4KsZGUKPBmi7,,
,Forest Hill,5,Pacheco/Magellan & No. 249 Castenada.,,https://photos.app.goo.gl/Y6mJDZpppH8VdqAE8,,
,Forest Hill,5,Santa Rita at No. 60 to Upper and Lower San Marcos.,,https://photos.app.goo.gl/vcoBn9s6HUn8DDTK7,,
,Forest Hill,4,"Alton/Lower Pacheco to No. 399 Upper Pacheco, continuing to No. 60 Sotelo.",,https://photos.app.goo.gl/N4v4vh4h7tX6aycr9,,
,Forest Hill,4,Alton/No. 60 Ventura to No. 70 Alton & No. 400 Lower Pacheco,,https://photos.app.goo.gl/EkDAJMgKmQ8RenbUA,,
,Forest Hill,4,Castenada at No. 140 to Pacheco at No. 334.,,https://photos.app.goo.gl/SZqXuEt3UkmYbLdCA,,
,Forest Hill,3,Funston & Santiago.,,https://photos.app.goo.gl/XNVG3BSYsezVD5vm9,,
,Forest Hill,3,Murphy Playground/8th Ave. entrance.,,https://photos.app.goo.gl/ztFBmEhegSD3A7ya9,,
,Forest Hill,3,Santa Rita & San Marcos,,https://photos.app.goo.gl/YrXTjYLHjbGjdKbD8,,
,Forest Hill,2,12th Ave. (at end) to Dorantes.,,https://photos.app.goo.gl/6eS8W9zvhX2FaNFu7,,
,Forest Hill,2,"Castenada, opposite No. 249.",,https://photos.app.goo.gl/6soarwgXbja2gvMZ7,,
,Forest Hill,2,Dorantes & Magellan.,,https://photos.app.goo.gl/om38gLHmaP8GDqfR7,,
